ELEVACION,LATITUD,LONGITUD
Cerro La Cascajera,14.19222,-89.50056
Cerro Minitas,14.17722,-89.52667
Cerro Lechuzo,14.1775,-89.55278
Cerro Monte Redondo,14.16972,-89.64
Cerro Picudo,14.17194,-89.55639
Cerro El Nanzal,14.17361,-89.54722
Cerro Cuchara,14.17111,-89.5375
Cerro Tecolote,14.175,-89.51389
Loma El Camalote,13.79139,-90.00583
Loma El Tesoro,13.77361,-90.00444
Loma El Nanzalito,13.76861,-90.015
Loma El Montoso,13.93333,-90.00167
Los Copinoles,13.91333,-90.03139
Cerro Pena Pinta,13.88333,-90.01
Loma La Maquina,13.8825,-90.03222
Loma El Infiernillo,13.87611,-90.02917
Cerro Los Alpes,13.84472,-89.77611
Cerro Chulo,13.6175,-89.19278
Cerro Guayama,13.59444,-89.17306
Cerro El Pajal,13.86889,-89.58667
Cerro El Paraiso,13.78167,-89.01611
Cerro El Cenizo,13.52861,-89.40361
Cerro La Loma,13.9675,-89.67972
Cerro Santa Lucia,13.995,-89.58194
Cerro El Tigre,13.50278,-89.43278
Cerro Guachipilin,13.62639,-89.4425
Cerro La Loma,13.97056,-89.39667
Cerro Las Palomas,13.57194,-89.56361
Cerro Maguci,13.6825,-89.44778
Cerro Mause,13.6825,-89.44778
Cerro Monte Redondo,13.52806,-89.45167
Cerro Punta del Diamante,13.54417,-89.58889
Cerro Verde,13.82778,-89.62528
Cerro Bonete,13.85722,-89.91139
Cerro San Agustin,13.95833,-89.27389
Cerro Redondo,13.52222,-89.02028
Cerro Tepeula,13.62333,-89.03611
Cerro Cuyanausul,13.89778,-89.75778
Cerro El Carrizal,13.91528,-89.96778
Cerro El Cucurucho,13.80611,-89.92972
Cerro El Leon,13.84389,-89.94
Cerro El Tambor,13.8925,-89.97028
Cerro Mistepe,13.84694,-89.96139
Cerro Pena Pinta,13.88639,-90
Cerro El Aguila,13.89167,-89.69694
Cerro El Cuervo,13.53,-89.62889
Volcan San Marcelino,13.80528,-89.59417
Cerro Olimpo,13.90833,-89.68889
Cerro Cuyultepe,13.63583,-89.025
Cerro Venado,13.93417,-87.85194
Cerro Ocote Manchon,13.9275,-87.87861
Cerro Guanacaste,13.91361,-87.81806
Cerro Grande,13.89056,-87.84722
Cerro Upire,13.88222,-87.89028
Cerro El Potrero del Ocotal,13.87806,-87.81194
Cerro El Ocote,13.87083,-87.88111
Cerro Chorreado,13.85917,-87.77139
Cerro El Carrizo,13.83361,-87.77278
Cerro El Penon de La Guara,13.81306,-87.88972
Cerro El Caballo,13.81028,-87.76972
Cerro El Jicarito,13.795,-87.92667
Cerro Guapinol,13.77611,-87.81139
Cerro Los Pozos,13.77389,-87.94417
Cerro Grande,13.77361,-87.85917
Cerro El Cerrito,13.77139,-87.80083
Cerro Panal,13.76083,-87.78472
Cerro Colorado,13.73333,-87.76639
Cerro La Guacamaya,13.71972,-87.80833
Cerro Volcancillo,13.71389,-87.84167
Cerro Redondo,13.70417,-87.915
Cerro Jaguito,13.66167,-87.78389
Cerro Vides,13.61778,-87.88528
Cerco de Piedra,13.60917,-87.78917
Cerro El Tablon,13.59778,-87.9375
Cerro Malabarranca,13.58528,-87.90556
Cerro La Torrecilla,13.5825,-87.94056
Cerro El Bonete,13.555,-87.98889
Cerro Portillo de Teguez,13.54222,-87.89361
Cerro Chamuscado,13.53528,-87.80139
Cerro El Zapote,13.53056,-87.92
Cerro El Aguacate,13.42361,-87.97972
Cerro El Havillal,13.23083,-87.76861
Cerro Los Obrajes,13.4925,-87.76444
Cerro Babilonia,13.78528,-87.98833
Cerro El Aparejo,13.85361,-87.96111
Cerro El Ocote,13.885,-87.96389
Cerro El Picacho,13.87889,-87.98444
Cerro Fila de Los Gatos,13.83028,-88
Cerro Los Coyotes,13.7125,-87.98139
Cerro Ocotepeque,13.735,-87.985
Cerro Isla Ilca,13.3,-87.74389
Cerro Isla Martin Perez,13.28889,-87.74139
Loma Atravezada,13.46889,-87.73972
Cerro El Naranjo,13.49417,-87.73056
Cerro El Narizon,13.485,-87.73444
Loma Las Mesas,13.47472,-87.73778
